sl no,Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
95,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,650,0.15,0,42.49,31.71,15.22,10.57
96,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,700,0.15,0,43.52,29.28,14.84,12.36
97,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,750,0.15,0,43.93,26.65,15.87,13.55
98,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,800,0.15,0,46.41,25.02,15.92,12.65
99,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,850,0.15,0,47.28,21.95,19,11.77
100,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,650,0.2,0,31.47,39.47,18.53,10.53
101,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,700,0.2,0,31.78,36.02,19.07,13.14
102,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,750,0.2,0,31.66,35.14,20.43,12.77
103,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,800,0.2,0,34.45,31.5,21.65,12.4
104,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,850,0.2,0,36.87,27.65,22.58,12.9
105,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,650,0.25,0,33.48,40.6,15.12,10.8
106,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,700,0.25,0,32.36,38.62,16.7,12.32
107,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,750,0.25,0,33.8,35.94,17.81,12.45
108,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,800,0.25,0,35.34,31.19,20.79,12.68
109,Pine Chips,5.93,69.56,20.2,4.31,46.3,5.6,47.52,0.55,0.03,850,0.25,0,37.04,27.29,22.03,13.65
110,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,950,0.18,0,26.12,55.06,15.9,2.92
111,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,970,0.21,0,30.8,46.31,18.71,4.18
112,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,1000,0.24,0,35.5,34.99,23.18,6.33
113,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,1020,0.28,0,38.88,26.84,26.17,8.11
114,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,1040,0.32,0,40.74,23.82,27.79,7.65
115,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,1050,0.36,0,37.67,28.97,25.7,7.65
116,Corn Straw,6.17,75.95,13.75,5.93,45.71,6.21,46.94,1.01,0.14,1060,0.41,0,33.16,40.27,23.14,3.43
117,Corn Straw,6.21,78.1,14.33,1.36,48.46,6.39,44.73,0.36,0.06,900,0,0.8,32.67,9.9,56.44,0.99
118,Corn Straw,6.21,78.1,14.33,1.36,48.46,6.39,44.73,0.36,0.06,900,0,1.2,26.5,13.5,59,1
119,Corn Straw,6.21,78.1,14.33,1.36,48.46,6.39,44.73,0.36,0.06,900,0,1.6,22,16,61,1
120,Corn Straw,6.21,78.1,14.33,1.36,48.46,6.39,44.73,0.36,0.06,900,0,2,19,18,62,1
121,Corn Straw,6.21,78.1,14.33,1.36,48.46,6.39,44.73,0.36,0.06,900,0,2.2,16,20,63,1
122,Miscanthus Pellet,9.1,73.9,14.6,2.4,44.57,5.67,49.19,0.46,0.11,842,0.25,0,38.45,36.47,12.69,12.39
123,Miscanthus Pellet,9.1,73.9,14.6,2.4,44.57,5.67,49.19,0.46,0.11,846,0.3,0,37.57,51.44,10.56,0.43
124,Miscanthus Pellet,9.1,73.9,14.6,2.4,44.57,5.67,49.19,0.46,0.11,866,0.35,0,37.58,36.99,13.58,11.84
125,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.27,0.6,38.31,17.95,32.99,10.75
126,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.2,0.6,36.08,20.62,32.99,10.31
127,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.25,0.6,35.42,25,31.25,8.33
128,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.3,0.6,34.74,27.37,29.47,8.42
129,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.35,0.6,34.41,30.11,27.96,7.53
130,Pine Sawdust,9,77.8,12.6,0.6,47.8,7,44.7,0.1,0.4,800,0.27,0.6,35.96,15.47,39.14,9.43
131,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,636,0.29,0,34.19,44.5,11.85,9.46
132,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,599,0.29,0,27.66,35.55,31.65,5.14
133,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,652,0.29,0,27.68,35.59,30.88,5.85
134,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,706,0.28,0,26.67,36.77,30.94,5.62
135,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,749,0.28,0,28.18,34.13,31.71,5.98
136,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,799,0.3,0,29.74,32.47,32.09,5.71
137,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,611,0.3,0,27.04,36.96,30.69,5.3
138,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,648,0.49,0,26.78,44.71,24.18,4.33
139,Wood Pellets,7.12,82.26,10.43,0.19,50.39,6.41,42.93,0.08,0.19,609,0.29,0,25.82,37.49,30.72,5.97
140,Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,0,43.03,21.47,27.35,8.15
141,Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,0.75,34.89,26.29,29.81,9.01
142,Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.06,35.93,25.96,28.97,9.14
143,Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.45,36.94,24.77,28.82,9.47
144,Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.67,35.86,25.57,29.52,9.04
145,Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,0,48.11,12.74,26.32,12.84
146,Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,0.75,45.82,15.76,28.39,10.02
147,Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.06,40.79,19.98,29.76,9.47
148,Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.45,40.44,20.89,29.94,8.73
149,Ecualyptus Sawdust,8.3,75.85,15.58,0.27,46.92,5.73,46.73,0.53,0.09,839.85,0.28,1.67,39.25,21.5,30.43,8.83
150,Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,650,0,1.2,35.8,35.08,20.05,9.07
151,Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,700,0,1.2,31.25,36.54,24.52,7.69
152,Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,1.2,26.69,35.35,31.71,6.24
153,Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,800,0,1.2,26.32,38.95,29.47,5.26
154,Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,850,0,1.2,23.01,46.01,26.07,4.91
155,Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,0.4,36.58,27.75,23.78,11.89
156,Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,0.8,32.52,31.06,26.9,9.51
157,Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,1.2,26.85,34.61,31.99,6.55
158,Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,1.6,23.14,37.02,34.7,5.14
159,Rice Straw,9.1,70.07,18.43,1.51,43.97,5.99,48.67,1.2,0.17,750,0,2,17.9,39.9,39.64,2.56
160,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0.37,1.7,15.86,48,28.25,7.88
161,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0.28,1.7,15.93,41.27,35.04,7.76
162,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0.18,1.7,17.14,35.41,39.9,7.55
163,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0.09,1.7,18.95,29.2,44.26,7.58
164,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0,1.7,20.7,22.85,47.95,8.5
165,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0,1.1,20.33,24.62,46.99,8.07
166,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0,1.4,18.78,24.97,49.24,7.01
167,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0,1.8,16.16,25.51,52.13,6.2
168,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0,2.7,11.97,27.79,55.17,5.07
169,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0,4.7,7.37,30.51,57.98,4.14
170,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,750,0.18,1.4,21.53,36.89,32.81,8.78
171,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,800,0.18,1.4,17.85,36.21,38.15,7.79
172,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,850,0.18,1.4,19,32.89,39.63,8.48
173,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,900,0.18,1.4,19.63,33.27,38.96,8.14
174,Sawdust,7.5,73.48,18.7,0.32,48.16,6.06,45.58,0.15,0.05,950,0.18,1.4,19.13,28.6,45.12,7.15
175,Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,750,0,0.6,45,8,34,13
176,Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0.6,39,9,41,11
177,Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,850,0,0.6,22.5,22.5,50,5
178,Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0,45.5,9,29.5,16
179,Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0.2,47.5,9,29.5,14
180,Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0.4,38.5,10.5,39.5,11.5
181,Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0.6,39.5,8.5,41,11
182,Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,0.8,38,12,40,10
183,Legume Straw,9.8,73.74,14.84,1.62,43.3,5.62,50.35,0.61,0.12,800,0,1,32.91,17.34,39.7,10.05
184,Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,650,0,1.32,11.25,31.9,47.25,9.6
185,Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,690,0,1.32,12.83,28.51,50.5,8.16
186,Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,730,0,1.32,15.9,25.65,52.2,6.25
187,Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,770,0,1.32,17.85,23.9,53.08,5.17
188,Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,750,0,1.32,27.48,18.09,47.81,6.62
189,Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,750,0,0.6,22.7,22.2,48.88,6.22
190,Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,750,0,1,19.65,23.15,51.17,6.03
191,Rice Husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,750,0,1.32,17.38,24.81,51.89,5.92
192,Wood Residue,5.01,77.71,16.94,0.34,50.26,6.72,42.66,0.16,0.2,700,0,1,18.56,16.49,52.58,12.37
211,Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,700,0.22,2.7,45.63,21.82,22.85,9.7
212,Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,750,0.22,2.7,41.34,20.45,29.63,8.58
213,Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.22,2.7,39.37,19.36,33.49,7.78
214,Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,850,0.22,2.7,35.52,19.49,37.51,7.49
215,Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,900,0.22,2.7,34,19.7,40.09,6.21
216,Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.19,1.56,39.41,18.74,33.61,8.24
217,Pine Sawdust,8,75.71,15.79,0.51,50.82,7.12,41.34,0.15,0.57,800,0.21,1.56,41.15,17.98,32.43,8.44
