Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,770,0.21,0,36.4,42.18,12.11,9.31
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,770,0.28,0,34.65,46.29,11.68,7.37
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,770,0.32,0,33.1,50.46,9.75,6.7
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,650,0.25,0,38.07,38.88,15.37,7.67
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,750,0.25,0,36.35,43.34,14.49,5.82
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,850,0.25,0,33.05,43.15,17.61,6.18
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,950,0.25,0,31.44,33.15,29.6,5.81
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,1050,0.25,0,33.17,25.39,36.26,5.19
Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,700,0.17,0,28,36,24,12
Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,740,0.2,0,26.09,36.96,23.91,13.04
Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,750,0.22,0,23.53,39.22,23.53,13.73
Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,760,0.23,0,20,37.78,26.67,15.56
Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,785,0.24,0,23.81,40.48,19.05,16.67
Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,780,0.29,0,29.55,36.36,22.73,11.36
Olive Stone,7.6,66.9,19.7,5.8,53.36,6.94,38.74,0.85,0.11,820,0.31,0,31.82,36.36,20.45,11.36
